guest,word,score
杨子性格,耿直,1.16708718491
杨子性格,特别,0.324544227082
杨子性格,单纯,0.310870595294
杨子性格,耿直,1.16708718491
杨子性格,希望,1.03220855601
杨子性格,好好,0.791941660604
杨子性格,符合,1.03431230483
杨子性格,爱人,1.9606614446
杨子性格,脆弱,0.418137712121
杨子性格,确实,0.0781768333788
杨子性格,道理,0.221747418403
杨子性格,通透,2.0
杨子性格,希望,1.03220855601
杨子性格,达到,1.51074700685
杨子性格,理想,2.25142928373
杨子性格,通透,2.0
杨子性格,确实,0.0781768333788
杨子性格,不好,-1.38899748421
杨子性格,争辩,0.0376450757707
杨子性格,平静,1.15690244538
杨子性格,改观,0.587231383956
杨子性格,相反,-0.457753512031
杨子性格,急躁,-1.23246553973
杨子性格,尊重,2.0
杨子性格,可爱,2.5488941332
杨子性格,戏弄,-0.766378019315
杨子性格,好,2.07329376355
杨子性格,肯定,-0.43096083708
杨子性格,不是,-2.0
杨子性格,确实,0.0781768333788
杨子性格,不好,-1.38899748421
杨子性格,难受,-3.77980013251
杨子性格,麻木,-1.36823996016
杨子性格,不是,-2.0
杨子性格,柔,2.16817224813
杨子性格,柔弱,-0.472626998532
杨子性格,弱,-0.867708520519
杨子性格,没想到,-0.133712410973
杨子性格,居然,-1.64359781894
杨子性格,忍受,-0.916960464637
杨子性格,妖,-0.0243144148199
杨子性格,反感,-2.64258471633
杨子性格,误会,0.0394670677714
杨子性格,其实,0.162622900364
杨子性格,人格,-0.343333531348
杨子性格,善良,1.25682766731
杨子性格,邪恶,0.438332677625
杨子性格,完全,-0.732156895064
杨子性格,爱人,1.9606614446
杨子性格,宠辱不惊,2.03943867583
杨子性格,其实,0.162622900364
杨子性格,完全,-0.732156895064
杨子性格,聪慧,2.1230197891
杨子性格,睿智,2.58453612273
杨子性格,宠爱,1.85632693613
杨子性格,可惜,-2.0
杨子性格,其实,0.162622900364
杨子性格,完全,-0.732156895064
杨子性格,鬼,-1.5984414366
杨子性格,鬼,-1.5984414366
杨子性格,正常,-0.108867271984
杨子性格,不对劲,-2.0
杨子性格,岳母,0.610068086761
杨子性格,感同身受,-0.0660419910242
杨子性格,习惯,-0.334933436221
杨子性格,忤逆,-2.0
杨子性格,迁就,1.06739688179
杨子性格,委屈,-1.79414553611
杨子性格,决定,0.257593624325
杨子性格,儿戏,-0.263750537289
杨子性格,问题,-1.12998368608
杨子性格,特别,0.324544227082
杨子性格,清醒,-1.47050672345
杨子性格,抓住,0.887758612009
杨子性格,问题,-1.12998368608
杨子性格,核心,1.16537583799
杨子性格,问题,-1.12998368608
杨子性格,愿意,0.943207452628
杨子性格,解决,0.00727535035593
杨子性格,不是,-2.0
杨子性格,受不了,-2.88819799243
杨子性格,离婚,-0.340345729153
杨子性格,可能,-0.170657040911
杨子性格,忍耐,-1.75281231679
杨子性格,成长,2.18082729731
杨子性格,突然,-0.978321592012
杨子性格,可能,-0.170657040911
杨子性格,受不了,-2.88819799243
杨子性格,反驳,-0.505857419468
杨子性格,喜欢,2.3566957262
杨子性格,发疯,-1.2249040531
杨子性格,爱人,1.9606614446
杨子性格,厮混,0.943901934194
杨子性格,变动,-0.475141889725
杨子性格,变动,-0.475141889725
杨子性格,基本,1.0
杨子性格,基本,1.0
杨子性格,固定,0.0102414758993
杨子性格,固定,0.0102414758993
杨子性格,艺术,1.41355197205
杨子性格,人格,-0.343333531348
杨子性格,爱人,1.9606614446
杨子性格,长线,0.886139833809
杨子性格,可能,-0.170657040911
杨子性格,可能,-0.170657040911
杨子性格,获得,2.0
杨子性格,成就,2.0
杨子性格,实在,0.507501042206
杨子性格,获得,2.0
杨子性格,成就,2.0
杨子性格,获得,2.0
杨子性格,成就,2.0
杨子性格,成就,2.0
杨子性格,其实,0.162622900364
杨子性格,获得,2.0
杨子性格,成就,2.0
杨子性格,爱人,1.9606614446
杨子性格,爱人,1.9606614446
杨子性格,可恨,-2.70656465934
杨子性格,其实,0.162622900364
杨子性格,可怜,-2.38414056376
杨子性格,可爱,2.5488941332
杨子性格,身世,-0.915008525002
杨子性格,爱人,1.9606614446
杨子性格,鸣不平,-1.03177249886
杨子性格,坚强,1.04795194284
杨子性格,巨大,-0.315226235219
杨子性格,诱惑力,0.880866423032
杨子性格,一不小心,-0.809584404066
杨子性格,好,2.07329376355
杨子性格,朋友,0.997629821831
杨子性格,有趣,2.75864699301
杨子性格,真诚,2.2389454003
杨子性格,善良,1.25682766731
杨子性格,成为,1.47322230702
杨子性格,好,2.07329376355
杨子性格,朋友,0.997629821831
杨子性格,爱人,1.9606614446
杨子性格,过硬,1.24986557932
杨子性格,爱人,1.9606614446
杨子性格,爱上,1.53703358887
杨子性格,爱人,1.9606614446
杨子性格,爱人,1.9606614446
杨子性格,自以为是,-1.87971920123
杨子性格,思考,-0.146107065149
杨子性格,假,0.869782154388
杨子性格,最好,0.577717255946
麦琳性格,值得,2.36084310759
麦琳性格,中肯,1.11930122358
麦琳性格,喜欢,2.3566957262
麦琳性格,罪犯,-1.13511462283
麦琳性格,爱人,1.9606614446
麦琳性格,爱人,1.9606614446
麦琳性格,没法,-2.09711570538
麦琳性格,爱人,1.9606614446
麦琳性格,可能,-0.170657040911
麦琳性格,大方,2.42592300641
麦琳性格,调侃,0.426884329356
麦琳性格,可能,-0.170657040911
麦琳性格,好强,0.805134944438
麦琳性格,崩塌,-1.87188132157
麦琳性格,明明,-2.56350192128
麦琳性格,问题,-1.12998368608
麦琳性格,道德,-3.04896462789
麦琳性格,绑架,-1.14682107246
麦琳性格,批评,-0.419506440101
麦琳性格,典型,-0.280010326294
麦琳性格,扣帽子,-1.57500268829
麦琳性格,热点,0.514157155851
